0,1,2,3,4,5,6,7,8
-34.63115821830485,-28.84959135809798,-36.11142440667177,-24.67970402163523,-48.827466075668596,-44.240771009521055,-33.0867303843102,-15.633640933805637,-46.57050793948389
-34.63115821830485,-20.96259135809798,-39.266424406671774,-37.29970402163522,-55.1374660756686,-37.93077100952104,-39.3967303843102,-36.14064093380563,-33.95150793948389
-37.78615821830485,-30.42659135809798,-32.95542440667178,-34.14370402163523,-50.404466075668594,-26.888771009521065,-28.353730384310197,-28.252640933805623,-40.26050793948389
-34.63115821830485,-35.158591358097965,-36.11142440667177,-32.56670402163523,-34.63046607566861,-28.466771009521054,-29.9317303843102,-28.253640933805627,-38.68350793948389
-33.05415821830485,-28.84959135809798,-29.801424406671785,-35.72170402163523,-31.475466075668606,-23.733771009521064,-22.0447303843102,-28.253640933805627,-27.641507939483887
-28.321158218304845,-28.84959135809798,-36.11142440667177,-34.14470402163522,-26.743466075668607,-28.466771009521054,-29.9317303843102,-36.14064093380563,-37.10650793948389
-22.011158218304843,-33.58159135809798,-28.223424406671782,-29.41170402163523,-31.475466075668606,-23.733771009521064,-20.466730384310196,-25.098640933805626,-29.218507939483885
-28.321158218304845,-38.313591358097995,-31.378424406671783,-32.56670402163523,-42.51746607566861,-28.465771009521063,-29.9317303843102,-37.717640933805626,-43.41550793948389
-37.78615821830485,-33.58159135809798,-28.223424406671782,-42.0307040216352,-36.207466075668606,-33.19877100952105,-39.39673038431019,-42.449640933805625,-37.105507939483886
-22.011158218304843,-25.69359135809796,-15.604424406671768,-21.52470402163523,-26.743466075668593,-34.77577100952105,-29.9317303843102,-18.788640933805624,-7.134507939483882
-44.095158218304846,-43.045591358097965,-34.533424406671784,-46.763704021635235,-36.207466075668606,-36.353771009521054,-47.2837303843102,-42.449640933805625,-33.950507939483884
-37.78615821830485,-28.84959135809798,-31.378424406671783,-32.56670402163523,-36.208466075668596,-31.621771009521055,-39.3967303843102,-29.830640933805626,-32.373507939483886
