;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Sweep Time (s);371.000E-3;40.373E+0;80.373E+0;120.375E+0;160.374E+0;200.376E+0;240.377E+0;280.378E+0;320.378E+0;360.379E+0;400.380E+0;440.380E+0;480.381E+0;520.382E+0;560.383E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
34;3300;-105.445E-12;-100.723E-12;-89.707E-12;-84.985E-12;-70.821E-12;-72.395E-12;-70.821E-12;-53.509E-12;-69.247E-12;-89.707E-12;-103.871E-12;-777.457E-12;-147.937E-12;-166.823E-12;-180.987E-12
35;3400;-111.740E-12;-110.166E-12;-89.707E-12;-75.542E-12;-66.100E-12;-64.526E-12;-61.378E-12;-56.657E-12;-80.264E-12;-81.838E-12;-103.871E-12;-774.309E-12;-140.068E-12;-179.413E-12;-176.265E-12
36;3500;-105.445E-12;-118.035E-12;-91.280E-12;-89.707E-12;-72.395E-12;-70.821E-12;-64.526E-12;-66.100E-12;-73.969E-12;-75.542E-12;-107.018E-12;-772.735E-12;-149.511E-12;-177.839E-12;-185.708E-12
37;3600;-102.297E-12;-122.756E-12;-94.428E-12;-83.411E-12;-75.542E-12;-75.542E-12;-66.100E-12;-64.526E-12;-78.690E-12;-73.969E-12;-97.576E-12;-771.162E-12;-140.068E-12;-166.823E-12;-185.708E-12
38;3700;-103.871E-12;-114.887E-12;-88.133E-12;-81.838E-12;-72.395E-12;-83.411E-12;-75.542E-12;-64.526E-12;-72.395E-12;-70.821E-12;-102.297E-12;-782.178E-12;-136.921E-12;-171.544E-12;-187.282E-12
39;3800;-99.149E-12;-111.740E-12;-105.445E-12;-78.690E-12;-69.247E-12;-89.707E-12;-67.673E-12;-58.231E-12;-64.526E-12;-75.542E-12;-102.297E-12;-779.031E-12;-129.052E-12;-169.970E-12;-179.413E-12
40;3900;-107.018E-12;-111.740E-12;-92.854E-12;-91.280E-12;-72.395E-12;-77.116E-12;-64.526E-12;-67.673E-12;-73.969E-12;-67.673E-12;-100.723E-12;-766.440E-12;-140.068E-12;-176.265E-12;-185.708E-12
41;4000;-108.592E-12;-113.314E-12;-94.428E-12;-81.838E-12;-62.952E-12;-80.264E-12;-58.231E-12;-67.673E-12;-72.395E-12;-80.264E-12;-103.871E-12;-775.883E-12;-147.937E-12;-165.249E-12;-185.708E-12
42;4100;-105.445E-12;-107.018E-12;-91.280E-12;-81.838E-12;-73.969E-12;-80.264E-12;-70.821E-12;-59.804E-12;-56.657E-12;-70.821E-12;-100.723E-12;-775.883E-12;-140.068E-12;-160.528E-12;-188.856E-12
43;4200;-107.018E-12;-114.887E-12;-97.576E-12;-78.690E-12;-69.247E-12;-67.673E-12;-69.247E-12;-37.771E-12;-67.673E-12;-64.526E-12;-99.149E-12;-783.752E-12;-140.068E-12;-174.692E-12;-184.134E-12
44;4300;-92.854E-12;-113.314E-12;-92.854E-12;-75.542E-12;-66.100E-12;-64.526E-12;-67.673E-12;-58.231E-12;-73.969E-12;-77.116E-12;-91.280E-12;-783.752E-12;-135.347E-12;-165.249E-12;-179.413E-12
45;4400;-91.280E-12;-108.592E-12;-92.854E-12;-66.100E-12;-70.821E-12;-77.116E-12;-59.804E-12;-66.100E-12;-77.116E-12;-73.969E-12;-96.002E-12;-766.440E-12;-154.232E-12;-171.544E-12;-180.987E-12
